1,"{""candidates"": [[[0, 0, 4], [8, 40, 113, 161]]]}"
2,"{""candidates"": [[[0, 1, 5], [8, 14, 113]]]}"
3,"{""candidates"": [[[0, 2, 6], [8, 22, 24, 113, 183]], [[0, 2, 7], [8, 22, 113]]]}"
4,"{""candidates"": [[[0, 3, 7], [8, 22, 113, 161]]]}"
5,"{""candidates"": [[[0, 4, 8], [22, 47, 150, 161, 181, 204]], [[0, 4, 9], [22, 47, 150, 161, 204]]]}"
6,"{""candidates"": [[[0, 5, 9], [22, 23, 47, 54, 150, 161, 204]], [[0, 5, 10], [22, 54, 161]]]}"
7,"{""candidates"": [[[0, 6, 10], [22, 54, 161]]]}"
8,"{""candidates"": [[[0, 7, 11], [22, 23, 161]]]}"
9,"{""candidates"": [[[0, 10, 14], [22, 34, 41]]]}"
10,"{""candidates"": [[[0, 12, 16], [22, 34, 41]]]}"
11,"{""candidates"": [[[0, 22, 26], [30, 44, 89]]]}"
12,"{""candidates"": [[[1, 0, 4], [113, 144, 162, 181, 185, 196]], [[1, 0, 5], [144, 162, 185, 196]], [[1, 0, 6], [144, 162, 185, 196]], [[1, 0, 7], [144, 162, 196]], [[1, 0, 8], [144, 162, 196]]]}"
13,"{""candidates"": [[[1, 1, 5], [79, 144, 162, 181, 185, 196]], [[1, 1, 6], [79, 144, 162, 181, 185, 196]], [[1, 1, 7], [79, 144, 162, 181, 196]], [[1, 1, 8], [144, 162, 181, 196]], [[1, 1, 9], [162, 181, 196]]]}"
14,"{""candidates"": [[[1, 2, 6], [79, 113, 144, 162, 181, 185, 196]], [[1, 2, 7], [79, 113, 144, 162, 181, 196]], [[1, 2, 8], [79, 113, 144, 162, 181, 196]], [[1, 2, 9], [162, 181, 196]]]}"
15,"{""candidates"": [[[1, 3, 7], [33, 79, 113, 144, 150, 162, 181, 196]], [[1, 3, 8], [33, 79, 113, 144, 162, 181, 196]], [[1, 3, 9], [162, 181, 196]]]}"
16,"{""candidates"": [[[1, 4, 8], [33, 41, 79, 113, 143, 144, 162, 181, 196]], [[1, 4, 9], [33, 162, 181, 196]]]}"
17,"{""candidates"": [[[1, 5, 9], [33, 122, 162, 181, 196]]]}"
18,"{""candidates"": [[[1, 6, 10], [20, 33, 196]]]}"
19,"{""candidates"": [[[1, 11, 15], [20, 34, 196]]]}"
20,"{""candidates"": [[[1, 21, 25], [41, 81, 162, 205]]]}"
21,"{""candidates"": [[[3, 35, 39], [49, 53, 92, 120]]]}"
22,"{""candidates"": [[[3, 36, 40], [16, 49, 53, 120, 201]]]}"
23,"{""candidates"": [[[3, 37, 41], [16, 49, 53, 92, 120, 149, 169]], [[3, 37, 42], [16, 49, 53, 120]]]}"
24,"{""candidates"": [[[3, 38, 42], [16, 49, 53, 120, 149]], [[3, 38, 43], [16, 49, 53, 149]]]}"
25,"{""candidates"": [[[3, 39, 43], [16, 49, 53, 149, 169]]]}"
26,"{""candidates"": [[[4, 4, 8], [7, 59, 101, 209]]]}"
27,"{""candidates"": [[[5, 3, 7], [25, 56, 87, 129]]]}"
28,"{""candidates"": [[[5, 5, 9], [25, 56, 58, 129]]]}"
29,"{""candidates"": [[[6, 8, 12], [24, 79, 127, 181, 183, 191]]]}"
30,"{""candidates"": [[[6, 9, 13], [127, 162, 181, 183, 191]]]}"
31,"{""candidates"": [[[6, 11, 15], [81, 127, 162, 191]]]}"
32,"{""candidates"": [[[7, 3, 7], [4, 59, 88, 124]]]}"
95,"{""candidates"": [[[33, 3, 7], [1, 79, 122, 181]]]}"
33,"{""candidates"": [[[7, 4, 8], [4, 59, 124, 209]], [[7, 4, 9], [4, 59, 124, 209]]]}"
34,"{""candidates"": [[[7, 5, 9], [4, 59, 65, 124, 209]]]}"
35,"{""candidates"": [[[7, 6, 10], [4, 59, 65, 101, 209]], [[7, 6, 11], [4, 59, 101, 209]], [[7, 6, 12], [4, 59, 101, 209]], [[7, 6, 13], [4, 59, 101, 209]]]}"
36,"{""candidates"": [[[7, 7, 11], [4, 59, 65, 101, 209]], [[7, 7, 12], [4, 59, 101, 209]], [[7, 7, 13], [4, 59, 101, 209]]]}"
37,"{""candidates"": [[[7, 8, 12], [4, 59, 65, 101, 209]], [[7, 8, 13], [4, 59, 101, 209]], [[7, 8, 14], [4, 59, 101, 209]]]}"
